ID_placette;Coulure;Millerandage
Coliris_01;;
Coliris_02;;
Coliris_03;8;8
Coliris_04;;
Coliris_05;;
Floreal_01;6;9
Floreal_02;5;8
Floreal_03;8;8
Floreal_04;6;8
Floreal_05;7;8
Floreal_06;6;8
Floreal_07;6;9
Floreal_08;7;9
Floreal_09;8;9
Floreal_10;7;9
Floreal_11;6;9
Floreal_12;6;9
Floreal_13;7;9
Floreal_14;4;
Floreal_15;5;
Grenache_01;;
Grenache_02;;
Grenache_03;;
Grenache_04;;
Grenache_05;6;9
Grenache_06;;
Grenache_07;;
Grenache_08;7;9
Grenache_09;;
Grenache_10;;
Grenache_11;;
Grenache_12;;
Grenache_13;;
Grenache_14;;
Grenache_15;;
Grenache_16;;
Grenache_17;;
Grenache_18;;
Grenache_19;7;9
Grenache_20;;
Grenache_21;;
Grenache_22;;
Grenache_23;;
Grenache_Tete;;
Lilaro_01;;
Lilaro_02;;
Lilaro_03;9;8
Lilaro_04;;
Lilaro_05;;
Lilaro_06;;
Muscaris_01;8;9
Muscaris_02;7;9
Muscaris_03;6;9
Muscaris_04;8;9
Muscaris_05;7;9
Muscaris_06;8;8
Muscaris_07;8;
MuscatPG_01;;
MuscatPG_02;;
MuscatPG_03;;
MuscatPG_04;;
MuscatPG_05;6;7
MuscatPG_06;;
MuscatPG_07;;
MuscatPG_08;;
MuscatPG_09;;
MuscatPG_10;;
Opalor_01;;
Opalor_02;;
Opalor_03;7;9
Opalor_04;;
Opalor_05;;
Opalor_06;;
RH01;7;
RH02;7;
RH03;7;
RH04;7;
RH05;;
RM01;9;9
RM02;7;9
RM03;8;9
RM04;2;9
RM05;5;9
RM06;3;9
RM08;6;7
RM09;;
RM10;8;8
RM11;9;8
RM12;;
RM13;7;7
RM14;7;8
RM15;5;9
RM16;5;9
RM17;8;9
RM18;9;8
RM19;9;9
RM20;8;9
RM21;;
RM22;;
RM23;7;9
RM24;7;9
RM25;2;7
RM26;;
RM27;9;8
RM28;8;9
RM29;7;8
RM30;8;8
RM31;9;9
RM32;8;9
RM33;8;9
RM34;8;9
RM35;;
RM36;7;9
RM37;8;9
RM38;7;8
RM39;6;7
RM40;;
RM41;1;
RM42;1;
RM43;6;
RM44;;
RR001;;
RR002;7;6
RR003;9;9
RR004;9;7
RR005;8;8
RR006;8;8
RR007;;0
RR008;9;9
RR009;6;7
RR010;6;8
RR011;;
RR012;7;6
RR013;9;8
RR014;;
RR015;7;8
RR016;7;8
RR017;9;9
RR018;8;8
RR019;6;9
RR020;7;8
RR021;7;9
RR022;9;8
RR023;7;8
RR024;8;8
RR025;8;2
RR026;5;6
RR027;8;9
RR028;9;9
RR029;5;4
RR030;9;8
RR031;9;7
RR032;;
RR033;;
RR034;9;7
RR035;7;7
RR036;;
RR037;8;8
RR038;9;8
RR039;8;7
RR040;6;7
RR041;7;8
RR042;6;9
RR043;;
RR044;;
RR045;8;9
RR046;8;8
RR047;;
RR048;7;5
RR049;7;7
RR050;8;9
RR051;9;9
RR052;7;8
RR053;7;8
RR054;;
RR055;7;9
RR056;5;8
RR057;4;9
RR058;7;9
RR059;6;7
RR060;5;7
RR061;9;8
RR062;9;9
RR063;5;
RR064;9;9
RR065;7;8
RR066;7;9
RR067;6;9
RR068;7;9
RR069;;
RR070;6;9
RR071;7;8
RR072;8;9
RR073;9;9
RR074;7;9
RR075;7;9
RR076;7;9
RR077;7;9
RR078;;
RR079;8;9
RR080;9;9
RR081;8;9
RR082;8;9
RR083;8;8
RR084;9;9
RR085;9;9
RR086;9;8
RR087;9;9
RR088;;
RR089;8;9
RR090;9;9
RR091;7;7
RR092;8;9
RR093;8;9
RR094;8;9
RR095;8;8
RR096;8;9
RR097;9;8
RR098;8;9
RR099;8;6
RR100;7;9
RR101;8;9
RR102;8;7
RR103;9;9
RR104;9;9
RR105;9;9
RR106;9;9
RR107;7;9
RR108;8;9
RR109;7;8
RR110;8;8
RR111;8;9
RR112;9;9
RR113;9;9
RR114;;
RR115;7;9
RR116;8;9
RR117;9;9
RR118;7;8
RR119;9;9
RR120;8;9
RR121;;0
RR122;9;9
RR123;8;8
RR124;6;6
RR125;7;9
RR126;8;9
RR127;;
RR128;6;9
RR129;7;9
RR130;9;9
RR131;;
RR132;8;6
RR133;8;9
RR134;8;9
RR135;7;9
RR136;4;7
RR137;6;9
RR138;4;9
RR139;8;9
RR140;7;9
RR141;8;9
RR142;7;9
RR143;6;8
RR144;7;9
RR145;5;8
RR146;5;6
RR147;7;9
RR148;7;6
RR149;7;9
RR150;6;7
RR151;8;9
RR152;6;9
RR153;8;9
RR154;5;8
RR155;;
RR156;8;
RR157;7;
RR158;9;
RR159;8;
RR160;9;
RR161;8;
RR162;1;
RR163;7;
RR164;6;
RR165;6;
RR166;5;
RR167;6;
RR168;;
RR169;1;
RR170;7;
RR171;9;
Selenor_01;;
Selenor_02;;
Selenor_03;5;8
Selenor_04;;
Selenor_05;;
Sirano_01;;
Sirano_02;;
Sirano_03;4;9
Sirano_04;;
Sirano_05;;
Sirano_06;;
Syrah_01;;
Syrah_02;;
Syrah_03;;
Syrah_04;;
Syrah_05;;
Syrah_06;;
Syrah_07;;
Syrah_08;9;9
Syrah_09;;
Syrah_10;;
Syrah_11;;
Syrah_12;;
Syrah_13;;
Syrah_14;9;8
Syrah_15;;
Syrah_16;;
Syrah_17;;
Syrah_18;;
Syrah_19;8;9
Syrah_20;;
Syrah_21;;
Syrah_22;;
Syrah_23;;
Syrah_24;;
Vidoc_01;9;9
Vidoc_02;9;8
Vidoc_03;6;9
Vidoc_04;8;9
Vidoc_05;8;9
Vidoc_06;9;9
Vidoc_07;9;9
Vidoc_08;9;9
Vidoc_09;9;9
Vidoc_10;7;9
Vidoc_11;7;9
Vidoc_12;7;9
Vidoc_13;;
;;
